Point_ID,tratamiento,Year,Date,NDVI,EVI,SAVI,LST,NDWI,LSWI,Snow
3771,sector no restaurado,1986,1986-02-06,0.692,0.544,0.498,23.109,-0.684,0.498,0
3771,sector no restaurado,1986,1986-03-10,0.669,0.457,0.442,21.929,-0.677,0.407,0
3771,sector no restaurado,1986,1986-03-26,0.638,0.424,0.417,20.983,-0.679,0.362,0
3771,sector no restaurado,1986,1986-04-11,0.369,0.28,0.261,10.708,-0.431,0.206,0
3771,sector no restaurado,1986,1986-04-27,0.515,0.311,0.324,14.225,-0.598,0.32,0
3771,sector no restaurado,1986,1986-07-16,,,,,,,
3771,sector no restaurado,1986,1986-08-17,,,,,,,
3771,sector no restaurado,1986,1986-09-02,0.215,0.132,0.128,11.152,-0.261,0.323,0
3771,sector no restaurado,1986,1986-09-18,0.238,0.138,0.14,7.054,-0.35,0.161,0
3771,sector no restaurado,1986,1986-10-04,0.407,0.207,0.217,21.981,-0.504,0.13,0
3771,sector no restaurado,1986,1986-10-20,0.397,0.223,0.228,16.648,-0.466,0.168,0
3771,sector no restaurado,1986,1986-11-05,0.429,0.259,0.262,18.515,-0.504,0.195,0
3771,sector no restaurado,1986,1986-12-07,,,,,,,
3771,sector no restaurado,1986,1986-12-23,0.679,0.475,0.45,29.88,-0.673,0.401,0
3772,sector no restaurado,1986,1986-02-06,0.74,0.585,0.528,22.61,-0.711,0.531,0
3772,sector no restaurado,1986,1986-03-10,0.68,0.455,0.445,21.461,-0.69,0.444,0
3772,sector no restaurado,1986,1986-03-26,0.685,0.458,0.441,20.036,-0.697,0.424,0
3772,sector no restaurado,1986,1986-04-11,0.405,0.304,0.283,9.672,-0.46,0.275,0
3772,sector no restaurado,1986,1986-04-27,0.52,0.306,0.32,13.22,-0.609,0.348,0
3772,sector no restaurado,1986,1986-07-16,,,,,,,
3772,sector no restaurado,1986,1986-08-17,,,,,,,
3772,sector no restaurado,1986,1986-09-02,0.346,0.161,0.167,10.134,-0.428,0.154,0
3772,sector no restaurado,1986,1986-09-18,0.319,0.16,0.166,5.998,-0.417,0.089,0
3772,sector no restaurado,1986,1986-10-04,0.416,0.194,0.207,21.044,-0.51,0.125,0
