Point_ID,tratamiento,Year,Date,Red,NIR,NDVI,SAVI
493,control 2,2000,2000-02-24,0.187,0.214,0.067,0.045
493,control 2,2000,2000-02-25,0.237,0.311,0.134,0.105
493,control 2,2000,2000-02-26,0.192,0.247,0.125,0.088
493,control 2,2000,2000-02-27,0.247,0.322,0.132,0.106
493,control 2,2000,2000-02-28,0.175,0.277,0.225,0.16
493,control 2,2000,2000-02-29,,,,
493,control 2,2000,2000-03-01,0.216,0.303,0.166,0.127
493,control 2,2000,2000-03-02,0.144,0.202,0.168,0.103
493,control 2,2000,2000-03-03,0.229,0.345,0.201,0.161
493,control 2,2000,2000-03-04,0.155,0.23,0.194,0.127
493,control 2,2000,2000-03-05,0.258,0.345,0.146,0.12
493,control 2,2000,2000-03-06,0.189,0.268,0.172,0.123
493,control 2,2000,2000-03-07,0.261,0.372,0.175,0.147
493,control 2,2000,2000-03-08,0.19,0.294,0.215,0.158
493,control 2,2000,2000-03-09,0.152,0.225,0.193,0.124
493,control 2,2000,2000-03-10,0.226,0.301,0.143,0.11
493,control 2,2000,2000-03-11,0.154,0.228,0.193,0.125
493,control 2,2000,2000-03-12,0.236,0.307,0.131,0.102
493,control 2,2000,2000-03-13,0.158,0.233,0.192,0.126
493,control 2,2000,2000-03-14,0.24,0.33,0.159,0.127
493,control 2,2000,2000-03-15,,,,
493,control 2,2000,2000-03-16,,,,
493,control 2,2000,2000-03-17,0.198,0.299,0.203,0.152
493,control 2,2000,2000-03-18,0.154,0.207,0.147,0.092
493,control 2,2000,2000-03-19,0.22,0.327,0.196,0.154
493,control 2,2000,2000-03-20,0.158,0.232,0.19,0.125
493,control 2,2000,2000-03-21,0.232,0.336,0.183,0.146
493,control 2,2000,2000-03-22,0.167,0.248,0.195,0.132
493,control 2,2000,2000-03-23,0.262,0.393,0.201,0.171
493,control 2,2000,2000-03-24,0.191,0.248,0.129,0.09
493,control 2,2000,2000-03-25,0.141,0.191,0.15,0.09
493,control 2,2000,2000-03-26,0.208,0.314,0.203,0.155
493,control 2,2000,2000-03-27,0.147,0.205,0.165,0.102
